mean_energy	error	        alpha	         beta	         gamma	        acceptance	stepsize
-6.261441,	0.393376,	-0.219100,	-3.187960,	-0.025970,	79.154167,	2.000000
-1.339356,	0.245042,	-0.219100,	-3.187960,	-0.013970,	77.012500,	3.000000
29.370938,	1.227739,	-0.219100,	-2.837960,	-0.133970,	55.972917,	2.000000
15.482780,	1.101942,	-0.219100,	-2.837960,	-0.121970,	58.110417,	2.000000
8.751769,	1.044702,	-0.219100,	-2.837960,	-0.109970,	59.372917,	2.000000
0.070795,	0.938113,	-0.219100,	-2.837960,	-0.097970,	61.297917,	2.000000
-5.340854,	0.856741,	-0.219100,	-2.837960,	-0.085970,	63.139583,	2.000000
-12.084016,	0.749645,	-0.219100,	-2.837960,	-0.073970,	65.585417,	2.000000
-12.352608,	0.686162,	-0.219100,	-2.837960,	-0.061970,	68.666667,	2.000000
-12.902139,	0.585210,	-0.219100,	-2.837960,	-0.049970,	71.504167,	2.000000
-9.627573,	0.490068,	-0.219100,	-2.837960,	-0.037970,	74.579167,	2.000000
-5.617467,	0.384238,	-0.219100,	-2.837960,	-0.025970,	78.687500,	2.000000
-1.129069,	0.244498,	-0.219100,	-2.837960,	-0.013970,	76.804167,	3.000000
26.916547,	1.192560,	-0.219100,	-2.487960,	-0.133970,	56.133333,	2.000000
14.389560,	1.096150,	-0.219100,	-2.487960,	-0.121970,	57.583333,	2.000000
6.971135,	1.016122,	-0.219100,	-2.487960,	-0.109970,	59.570833,	2.000000
-1.460188,	0.922076,	-0.219100,	-2.487960,	-0.097970,	61.445833,	2.000000
-5.590362,	0.854419,	-0.219100,	-2.487960,	-0.085970,	63.410417,	2.000000
-11.390794,	0.757578,	-0.219100,	-2.487960,	-0.073970,	65.831250,	2.000000
-13.524539,	0.657604,	-0.219100,	-2.487960,	-0.061970,	68.772917,	2.000000
-12.443260,	0.577601,	-0.219100,	-2.487960,	-0.049970,	71.281250,	2.000000
-10.426430,	0.470485,	-0.219100,	-2.487960,	-0.037970,	74.383333,	2.000000
-6.143082,	0.372466,	-0.219100,	-2.487960,	-0.025970,	78.658333,	2.000000
-1.750565,	0.229260,	-0.219100,	-2.487960,	-0.013970,	76.610417,	3.000000
24.451589,	1.197560,	-0.219100,	-2.137960,	-0.133970,	56.385417,	2.000000
15.594848,	1.119598,	-0.219100,	-2.137960,	-0.121970,	58.195833,	2.000000
4.824800,	1.006280,	-0.219100,	-2.137960,	-0.109970,	59.627083,	2.000000
-4.282090,	0.914275,	-0.219100,	-2.137960,	-0.097970,	61.633333,	2.000000
-9.073825,	0.832861,	-0.219100,	-2.137960,	-0.085970,	64.254167,	2.000000
-12.796219,	0.743186,	-0.219100,	-2.137960,	-0.073970,	66.179167,	2.000000
-12.325936,	0.679252,	-0.219100,	-2.137960,	-0.061970,	68.666667,	2.000000
-13.010507,	0.567792,	-0.219100,	-2.137960,	-0.049970,	71.406250,	2.000000
-10.569939,	0.487225,	-0.219100,	-2.137960,	-0.037970,	74.385417,	2.000000
-6.013082,	0.380103,	-0.219100,	-2.137960,	-0.025970,	78.922917,	2.000000
-1.503699,	0.241217,	-0.219100,	-2.137960,	-0.013970,	76.568750,	3.000000
22.892361,	1.191422,	-0.219100,	-1.787960,	-0.133970,	56.662500,	2.000000
12.137809,	1.108151,	-0.219100,	-1.787960,	-0.121970,	58.168750,	2.000000
4.135464,	1.016589,	-0.219100,	-1.787960,	-0.109970,	59.791667,	2.000000
-3.693044,	0.913919,	-0.219100,	-1.787960,	-0.097970,	61.933333,	2.000000
-8.513476,	0.823504,	-0.219100,	-1.787960,	-0.085970,	63.991667,	2.000000
-11.292783,	0.749566,	-0.219100,	-1.787960,	-0.073970,	66.097917,	2.000000
-13.713265,	0.656858,	-0.219100,	-1.787960,	-0.061970,	68.437500,	2.000000
-12.790543,	0.579589,	-0.219100,	-1.787960,	-0.049970,	71.291667,	2.000000
-9.728848,	0.487495,	-0.219100,	-1.787960,	-0.037970,	74.360417,	2.000000
-5.898607,	0.357997,	-0.219100,	-1.787960,	-0.025970,	78.760417,	2.000000
-1.069669,	0.248332,	-0.219100,	-1.787960,	-0.013970,	76.633333,	3.000000
19.829391,	1.186107,	-0.219100,	-1.437960,	-0.133970,	56.556250,	2.000000
11.551951,	1.109888,	-0.219100,	-1.437960,	-0.121970,	59.239583,	2.000000
3.897598,	1.031497,	-0.219100,	-1.437960,	-0.109970,	60.708333,	2.000000
-4.105314,	0.914053,	-0.219100,	-1.437960,	-0.097970,	62.289583,	2.000000
-9.824173,	0.841528,	-0.219100,	-1.437960,	-0.085970,	64.406250,	2.000000
-12.513081,	0.755197,	-0.219100,	-1.437960,	-0.073970,	66.895833,	2.000000
-11.942509,	0.683652,	-0.219100,	-1.437960,	-0.061970,	68.668750,	2.000000
-11.137926,	0.592165,	-0.219100,	-1.437960,	-0.049970,	71.820833,	2.000000
-9.334510,	0.488740,	-0.219100,	-1.437960,	-0.037970,	74.922917,	2.000000
-5.422030,	0.386463,	-0.219100,	-1.437960,	-0.025970,	79.279167,	2.000000
-1.239654,	0.237883,	-0.219100,	-1.437960,	-0.013970,	77.112500,	3.000000
18.649556,	1.206152,	-0.219100,	-1.087960,	-0.133970,	57.897917,	2.000000
8.733264,	1.094399,	-0.219100,	-1.087960,	-0.121970,	59.122917,	2.000000
2.226589,	1.045748,	-0.219100,	-1.087960,	-0.109970,	60.443750,	2.000000
-4.476793,	0.941544,	-0.219100,	-1.087960,	-0.097970,	62.466667,	2.000000
-7.972311,	0.870206,	-0.219100,	-1.087960,	-0.085970,	64.614583,	2.000000
-10.619562,	0.779193,	-0.219100,	-1.087960,	-0.073970,	66.564583,	2.000000
-11.472108,	0.701958,	-0.219100,	-1.087960,	-0.061970,	68.662500,	2.000000
-12.460499,	0.592668,	-0.219100,	-1.087960,	-0.049970,	71.689583,	2.000000
-9.849230,	0.481729,	-0.219100,	-1.087960,	-0.037970,	74.872917,	2.000000
-5.741720,	0.373346,	-0.219100,	-1.087960,	-0.025970,	78.920833,	2.000000
-0.948604,	0.240349,	-0.219100,	-1.087960,	-0.013970,	76.947917,	3.000000
21.117642,	1.274066,	-0.219100,	-0.737960,	-0.133970,	58.393750,	2.000000
9.431184,	1.157765,	-0.219100,	-0.737960,	-0.121970,	60.164583,	2.000000
3.304536,	1.080753,	-0.219100,	-0.737960,	-0.109970,	61.562500,	2.000000
-2.077605,	0.983636,	-0.219100,	-0.737960,	-0.097970,	63.777083,	2.000000
-6.615907,	0.896148,	-0.219100,	-0.737960,	-0.085970,	65.462500,	2.000000
-10.077697,	0.800215,	-0.219100,	-0.737960,	-0.073970,	67.383333,	2.000000
-10.184709,	0.716968,	-0.219100,	-0.737960,	-0.061970,	69.208333,	2.000000
-10.420398,	0.621252,	-0.219100,	-0.737960,	-0.049970,	72.166667,	2.000000
-7.161328,	0.515188,	-0.219100,	-0.737960,	-0.037970,	75.508333,	2.000000
-4.121240,	0.407666,	-0.219100,	-0.737960,	-0.025970,	79.141667,	2.000000
0.152522,	0.251062,	-0.219100,	-0.737960,	-0.013970,	77.256250,	3.000000
24.260907,	1.373524,	-0.219100,	-0.387960,	-0.133970,	58.731250,	2.000000
16.847810,	1.285356,	-0.219100,	-0.387960,	-0.121970,	60.722917,	2.000000
8.873279,	1.191678,	-0.219100,	-0.387960,	-0.109970,	61.779167,	2.000000
0.414597,	1.049159,	-0.219100,	-0.387960,	-0.097970,	64.050000,	2.000000
-3.995921,	0.956667,	-0.219100,	-0.387960,	-0.085970,	66.172917,	2.000000
-6.432481,	0.850216,	-0.219100,	-0.387960,	-0.073970,	68.012500,	2.000000
-5.722571,	0.758140,	-0.219100,	-0.387960,	-0.061970,	70.518750,	2.000000
-7.003703,	0.658744,	-0.219100,	-0.387960,	-0.049970,	72.941667,	2.000000
-4.954319,	0.518876,	-0.219100,	-0.387960,	-0.037970,	76.006250,	2.000000
-1.685407,	0.415140,	-0.219100,	-0.387960,	-0.025970,	79.702083,	2.000000
0.802996,	0.246273,	-0.219100,	-0.387960,	-0.013970,	77.250000,	3.000000
128.674560,	2.131223,	-0.219100,	-0.037960,	-0.133970,	49.054167,	2.000000
101.234284,	1.970129,	-0.219100,	-0.037960,	-0.121970,	51.308333,	2.000000
69.002889,	1.733387,	-0.219100,	-0.037960,	-0.109970,	54.033333,	2.000000
48.730168,	1.593901,	-0.219100,	-0.037960,	-0.097970,	56.968750,	2.000000
27.563959,	1.414813,	-0.219100,	-0.037960,	-0.085970,	59.256250,	2.000000
11.475022,	1.237917,	-0.219100,	-0.037960,	-0.073970,	62.404167,	2.000000
1.266401,	1.059139,	-0.219100,	-0.037960,	-0.061970,	66.372917,	2.000000
-4.128607,	0.870174,	-0.219100,	-0.037960,	-0.049970,	70.547917,	2.000000
-4.594584,	0.682224,	-0.219100,	-0.037960,	-0.037970,	74.733333,	2.000000
-2.997491,	0.469568,	-0.219100,	-0.037960,	-0.025970,	75.320833,	2.500000
0.581537,	0.267390,	-0.219100,	-0.037960,	-0.013970,	78.977083,	3.000000
121.968620,	2.505782,	0.280900,	-3.537960,	-0.133970,	52.583333,	2.000000
94.372062,	2.302399,	0.280900,	-3.537960,	-0.121970,	54.985417,	2.000000
72.515799,	2.093763,	0.280900,	-3.537960,	-0.109970,	56.637500,	2.000000
54.244382,	1.922294,	0.280900,	-3.537960,	-0.097970,	59.035417,	2.000000
38.051935,	1.729301,	0.280900,	-3.537960,	-0.085970,	61.533333,	2.000000
23.052118,	1.500711,	0.280900,	-3.537960,	-0.073970,	64.720833,	2.000000
12.198613,	1.318752,	0.280900,	-3.537960,	-0.061970,	67.075000,	2.000000
7.127302,	1.147764,	0.280900,	-3.537960,	-0.049970,	70.383333,	2.000000
0.634165,	0.887662,	0.280900,	-3.537960,	-0.037970,	74.077083,	2.000000
-1.706366,	0.662248,	0.280900,	-3.537960,	-0.025970,	78.743750,	2.000000
1.169687,	0.440677,	0.280900,	-3.537960,	-0.013970,	76.658333,	3.000000
124.094560,	2.527366,	0.280900,	-3.187960,	-0.133970,	52.431250,	2.000000
101.214929,	2.318110,	0.280900,	-3.187960,	-0.121970,	54.552083,	2.000000
75.061674,	2.087250,	0.280900,	-3.187960,	-0.109970,	56.510417,	2.000000
55.115258,	1.934922,	0.280900,	-3.187960,	-0.097970,	59.031250,	2.000000
38.516622,	1.718510,	0.280900,	-3.187960,	-0.085970,	61.660417,	2.000000
23.417814,	1.517475,	0.280900,	-3.187960,	-0.073970,	64.443750,	2.000000
15.576499,	1.360055,	0.280900,	-3.187960,	-0.061970,	67.150000,	2.000000
5.758965,	1.137969,	0.280900,	-3.187960,	-0.049970,	70.493750,	2.000000
3.219494,	0.942359,	0.280900,	-3.187960,	-0.037970,	74.229167,	2.000000
0.135715,	0.709648,	0.280900,	-3.187960,	-0.025970,	79.054167,	2.000000
1.123473,	0.444551,	0.280900,	-3.187960,	-0.013970,	76.841667,	3.000000
127.883484,	2.528890,	0.280900,	-2.837960,	-0.133970,	52.016667,	2.000000
104.142787,	2.370343,	0.280900,	-2.837960,	-0.121970,	54.404167,	2.000000
80.053526,	2.140809,	0.280900,	-2.837960,	-0.109970,	56.856250,	2.000000
57.287981,	1.948469,	0.280900,	-2.837960,	-0.097970,	58.902083,	2.000000
39.353194,	1.741847,	0.280900,	-2.837960,	-0.085970,	61.233333,	2.000000
26.585537,	1.521823,	0.280900,	-2.837960,	-0.073970,	63.614583,	2.000000
15.322440,	1.356158,	0.280900,	-2.837960,	-0.061970,	67.239583,	2.000000
7.929673,	1.161317,	0.280900,	-2.837960,	-0.049970,	70.537500,	2.000000
3.415355,	0.938720,	0.280900,	-2.837960,	-0.037970,	74.168750,	2.000000
1.071390,	0.696399,	0.280900,	-2.837960,	-0.025970,	78.560417,	2.000000
1.647937,	0.455670,	0.280900,	-2.837960,	-0.013970,	76.427083,	3.000000
136.584511,	2.606644,	0.280900,	-2.487960,	-0.133970,	51.614583,	2.000000
109.991514,	2.363472,	0.280900,	-2.487960,	-0.121970,	54.410417,	2.000000
79.312613,	2.109658,	0.280900,	-2.487960,	-0.109970,	56.425000,	2.000000
64.057397,	2.013754,	0.280900,	-2.487960,	-0.097970,	58.460417,	2.000000
42.729664,	1.760234,	0.280900,	-2.487960,	-0.085970,	61.162500,	2.000000
26.790852,	1.544410,	0.280900,	-2.487960,	-0.073970,	63.872917,	2.000000
15.827253,	1.327896,	0.280900,	-2.487960,	-0.061970,	67.033333,	2.000000
5.424771,	1.126130,	0.280900,	-2.487960,	-0.049970,	70.202083,	2.000000
3.030902,	0.928336,	0.280900,	-2.487960,	-0.037970,	74.318750,	2.000000
1.943957,	0.732674,	0.280900,	-2.487960,	-0.025970,	78.722917,	2.000000
1.036262,	0.434899,	0.280900,	-2.487960,	-0.013970,	76.833333,	3.000000
138.919477,	2.581387,	0.280900,	-2.137960,	-0.133970,	51.583333,	2.000000
113.862702,	2.390450,	0.280900,	-2.137960,	-0.121970,	53.679167,	2.000000
88.285927,	2.179369,	0.280900,	-2.137960,	-0.109970,	55.779167,	2.000000
63.079512,	1.974435,	0.280900,	-2.137960,	-0.097970,	58.358333,	2.000000
46.691577,	1.795325,	0.280900,	-2.137960,	-0.085970,	60.870833,	2.000000
28.425479,	1.578018,	0.280900,	-2.137960,	-0.073970,	63.450000,	2.000000
17.106196,	1.350170,	0.280900,	-2.137960,	-0.061970,	66.789583,	2.000000
8.256621,	1.146335,	0.280900,	-2.137960,	-0.049970,	70.516667,	2.000000
4.075373,	0.954908,	0.280900,	-2.137960,	-0.037970,	74.193750,	2.000000
2.169251,	0.736502,	0.280900,	-2.137960,	-0.025970,	78.502083,	2.000000
1.305768,	0.439053,	0.280900,	-2.137960,	-0.013970,	76.470833,	3.000000
144.848976,	2.566897,	0.280900,	-1.787960,	-0.133970,	51.164583,	2.000000
121.181859,	2.431349,	0.280900,	-1.787960,	-0.121970,	53.054167,	2.000000
91.374412,	2.188001,	0.280900,	-1.787960,	-0.109970,	55.358333,	2.000000
67.166997,	1.953354,	0.280900,	-1.787960,	-0.097970,	57.808333,	2.000000
45.934370,	1.801502,	0.280900,	-1.787960,	-0.085970,	60.454167,	2.000000
30.123809,	1.571157,	0.280900,	-1.787960,	-0.073970,	63.362500,	2.000000
17.782981,	1.383516,	0.280900,	-1.787960,	-0.061970,	67.060417,	2.000000
10.351304,	1.178786,	0.280900,	-1.787960,	-0.049970,	70.150000,	2.000000
4.476569,	0.940510,	0.280900,	-1.787960,	-0.037970,	73.606250,	2.000000
1.474359,	0.711891,	0.280900,	-1.787960,	-0.025970,	78.691667,	2.000000
2.295164,	0.471472,	0.280900,	-1.787960,	-0.013970,	76.416667,	3.000000
151.037291,	2.571056,	0.280900,	-1.437960,	-0.133970,	50.489583,	2.000000
121.475198,	2.400231,	0.280900,	-1.437960,	-0.121970,	52.750000,	2.000000
94.594071,	2.193596,	0.280900,	-1.437960,	-0.109970,	54.816667,	2.000000
70.111775,	2.000213,	0.280900,	-1.437960,	-0.097970,	57.675000,	2.000000
50.188309,	1.796543,	0.280900,	-1.437960,	-0.085970,	59.985417,	2.000000
34.900407,	1.576053,	0.280900,	-1.437960,	-0.073970,	62.502083,	2.000000
16.719990,	1.337521,	0.280900,	-1.437960,	-0.061970,	65.906250,	2.000000
9.646252,	1.152658,	0.280900,	-1.437960,	-0.049970,	69.756250,	2.000000
3.823728,	0.935457,	0.280900,	-1.437960,	-0.037970,	73.593750,	2.000000
0.888664,	0.715175,	0.280900,	-1.437960,	-0.025970,	78.452083,	2.000000
1.639975,	0.436014,	0.280900,	-1.437960,	-0.013970,	76.472917,	3.000000
152.827863,	2.555967,	0.280900,	-1.087960,	-0.133970,	50.189583,	2.000000
118.083462,	2.322250,	0.280900,	-1.087960,	-0.121970,	52.108333,	2.000000
100.287544,	2.185785,	0.280900,	-1.087960,	-0.109970,	54.189583,	2.000000
72.279602,	1.964369,	0.280900,	-1.087960,	-0.097970,	57.210417,	2.000000
52.653157,	1.772902,	0.280900,	-1.087960,	-0.085970,	59.677083,	2.000000
35.693488,	1.611303,	0.280900,	-1.087960,	-0.073970,	62.562500,	2.000000
19.869257,	1.375070,	0.280900,	-1.087960,	-0.061970,	65.856250,	2.000000
10.255303,	1.156501,	0.280900,	-1.087960,	-0.049970,	69.204167,	2.000000
3.555359,	0.937147,	0.280900,	-1.087960,	-0.037970,	73.258333,	2.000000
2.160990,	0.723166,	0.280900,	-1.087960,	-0.025970,	77.852083,	2.000000
1.305821,	0.433688,	0.280900,	-1.087960,	-0.013970,	76.785417,	3.000000
144.029190,	2.413024,	0.280900,	-0.737960,	-0.133970,	49.933333,	2.000000
124.417508,	2.295160,	0.280900,	-0.737960,	-0.121970,	51.872917,	2.000000
92.711484,	2.095173,	0.280900,	-0.737960,	-0.109970,	53.985417,	2.000000
67.407398,	1.883662,	0.280900,	-0.737960,	-0.097970,	56.195833,	2.000000
49.395425,	1.714760,	0.280900,	-0.737960,	-0.085970,	58.856250,	2.000000
32.013105,	1.529450,	0.280900,	-0.737960,	-0.073970,	61.791667,	2.000000
17.413662,	1.318045,	0.280900,	-0.737960,	-0.061970,	65.066667,	2.000000
9.691797,	1.157544,	0.280900,	-0.737960,	-0.049970,	68.583333,	2.000000
1.231596,	0.905143,	0.280900,	-0.737960,	-0.037970,	72.689583,	2.000000
-0.617367,	0.668782,	0.280900,	-0.737960,	-0.025970,	77.618750,	2.000000
0.977843,	0.458869,	0.280900,	-0.737960,	-0.013970,	76.164583,	3.000000
114.491628,	2.138620,	0.280900,	-0.387960,	-0.133970,	50.708333,	2.000000
93.341088,	2.011766,	0.280900,	-0.387960,	-0.121970,	52.568750,	2.000000
75.986637,	1.863453,	0.280900,	-0.387960,	-0.109970,	54.562500,	2.000000
57.548761,	1.735623,	0.280900,	-0.387960,	-0.097970,	56.410417,	2.000000
39.529687,	1.569771,	0.280900,	-0.387960,	-0.085970,	58.637500,	2.000000
22.418585,	1.427476,	0.280900,	-0.387960,	-0.073970,	61.162500,	2.000000
11.128758,	1.215331,	0.280900,	-0.387960,	-0.061970,	64.389583,	2.000000
4.539097,	1.089908,	0.280900,	-0.387960,	-0.049970,	67.408333,	2.000000
-3.256404,	0.868133,	0.280900,	-0.387960,	-0.037970,	71.383333,	2.000000
-3.218993,	0.667386,	0.280900,	-0.387960,	-0.025970,	77.077083,	2.000000
-1.157031,	0.415429,	0.280900,	-0.387960,	-0.013970,	79.285417,	2.500000
27.165927,	1.450603,	0.280900,	-0.037960,	-0.133970,	59.968750,	2.000000
17.299369,	1.364948,	0.280900,	-0.037960,	-0.121970,	61.195833,	2.000000
11.190956,	1.229462,	0.280900,	-0.037960,	-0.109970,	62.618750,	2.000000
7.022111,	1.168140,	0.280900,	-0.037960,	-0.097970,	64.297917,	2.000000
3.071641,	1.093382,	0.280900,	-0.037960,	-0.085970,	65.489583,	2.000000
-3.005786,	0.970799,	0.280900,	-0.037960,	-0.073970,	67.439583,	2.000000
-4.567119,	0.880115,	0.280900,	-0.037960,	-0.061970,	69.883333,	2.000000
-5.039094,	0.790131,	0.280900,	-0.037960,	-0.049970,	72.262500,	2.000000
-5.760263,	0.650679,	0.280900,	-0.037960,	-0.037970,	74.656250,	2.000000
-4.042125,	0.555587,	0.280900,	-0.037960,	-0.025970,	78.268750,	2.000000
-2.014299,	0.376127,	0.280900,	-0.037960,	-0.013970,	78.872917,	2.500000
299.957854,	4.376505,	0.780900,	-3.537960,	-0.133970,	47.687500,	2.000000
244.042200,	3.986948,	0.780900,	-3.537960,	-0.121970,	50.079167,	2.000000
199.671113,	3.632781,	0.780900,	-3.537960,	-0.109970,	51.981250,	2.000000
164.272880,	3.335261,	0.780900,	-3.537960,	-0.097970,	55.725000,	2.000000
120.486508,	2.897635,	0.780900,	-3.537960,	-0.085970,	58.097917,	2.000000
90.716730,	2.563646,	0.780900,	-3.537960,	-0.073970,	61.504167,	2.000000
58.983851,	2.181869,	0.780900,	-3.537960,	-0.061970,	64.937500,	2.000000
36.788195,	1.821008,	0.780900,	-3.537960,	-0.049970,	68.714583,	2.000000
22.236077,	1.402786,	0.780900,	-3.537960,	-0.037970,	73.677083,	2.000000
10.898648,	1.052570,	0.780900,	-3.537960,	-0.025970,	77.745833,	2.000000
6.225510,	0.675975,	0.780900,	-3.537960,	-0.013970,	76.700000,	3.000000
314.855592,	4.415381,	0.780900,	-3.187960,	-0.133970,	46.414583,	2.000000
268.855739,	4.137622,	0.780900,	-3.187960,	-0.121970,	49.095833,	2.000000
218.535752,	3.740918,	0.780900,	-3.187960,	-0.109970,	52.056250,	2.000000
164.681610,	3.261892,	0.780900,	-3.187960,	-0.097970,	54.695833,	2.000000
127.481137,	2.933832,	0.780900,	-3.187960,	-0.085970,	58.218750,	2.000000
91.709483,	2.542260,	0.780900,	-3.187960,	-0.073970,	61.610417,	2.000000
64.139019,	2.175394,	0.780900,	-3.187960,	-0.061970,	64.647917,	2.000000
41.267234,	1.807253,	0.780900,	-3.187960,	-0.049970,	68.793750,	2.000000
22.550300,	1.410251,	0.780900,	-3.187960,	-0.037970,	72.845833,	2.000000
11.400512,	1.029992,	0.780900,	-3.187960,	-0.025970,	77.406250,	2.000000
6.530555,	0.658040,	0.780900,	-3.187960,	-0.013970,	79.816667,	2.500000
340.335855,	4.522616,	0.780900,	-2.837960,	-0.133970,	46.395833,	2.000000
281.485132,	4.112263,	0.780900,	-2.837960,	-0.121970,	48.456250,	2.000000
233.479519,	3.798274,	0.780900,	-2.837960,	-0.109970,	51.020833,	2.000000
182.175555,	3.395933,	0.780900,	-2.837960,	-0.097970,	54.168750,	2.000000
145.335541,	3.099839,	0.780900,	-2.837960,	-0.085970,	56.716667,	2.000000
99.568128,	2.648968,	0.780900,	-2.837960,	-0.073970,	60.937500,	2.000000
64.900475,	2.173613,	0.780900,	-2.837960,	-0.061970,	64.060417,	2.000000
42.743479,	1.842047,	0.780900,	-2.837960,	-0.049970,	68.077083,	2.000000
23.891914,	1.451394,	0.780900,	-2.837960,	-0.037970,	72.772917,	2.000000
15.797572,	1.132221,	0.780900,	-2.837960,	-0.025970,	77.391667,	2.000000
6.148624,	0.661201,	0.780900,	-2.837960,	-0.013970,	76.293750,	3.000000
360.517959,	4.544858,	0.780900,	-2.487960,	-0.133970,	45.458333,	2.000000
300.223602,	4.212287,	0.780900,	-2.487960,	-0.121970,	47.497917,	2.000000
251.502778,	3.888247,	0.780900,	-2.487960,	-0.109970,	49.610417,	2.000000
202.539676,	3.507509,	0.780900,	-2.487960,	-0.097970,	52.729167,	2.000000
146.429081,	3.077086,	0.780900,	-2.487960,	-0.085970,	56.168750,	2.000000
111.461693,	2.708615,	0.780900,	-2.487960,	-0.073970,	59.268750,	2.000000
75.526126,	2.276814,	0.780900,	-2.487960,	-0.061970,	63.208333,	2.000000
50.800152,	1.894639,	0.780900,	-2.487960,	-0.049970,	67.293750,	2.000000
26.689412,	1.452625,	0.780900,	-2.487960,	-0.037970,	72.450000,	2.000000
12.741172,	1.083918,	0.780900,	-2.487960,	-0.025970,	77.281250,	2.000000
5.819053,	0.644531,	0.780900,	-2.487960,	-0.013970,	75.989583,	3.000000
400.184009,	4.651131,	0.780900,	-2.137960,	-0.133970,	43.718750,	2.000000
333.267474,	4.335764,	0.780900,	-2.137960,	-0.121970,	46.777083,	2.000000
269.471845,	3.909784,	0.780900,	-2.137960,	-0.109970,	49.127083,	2.000000
211.108629,	3.548463,	0.780900,	-2.137960,	-0.097970,	51.993750,	2.000000
170.989203,	3.215441,	0.780900,	-2.137960,	-0.085970,	55.145833,	2.000000
116.166546,	2.717295,	0.780900,	-2.137960,	-0.073970,	58.841667,	2.000000
84.648625,	2.373827,	0.780900,	-2.137960,	-0.061970,	62.695833,	2.000000
55.154371,	1.947211,	0.780900,	-2.137960,	-0.049970,	67.141667,	2.000000
27.090348,	1.454144,	0.780900,	-2.137960,	-0.037970,	71.804167,	2.000000
16.714112,	1.080356,	0.780900,	-2.137960,	-0.025970,	77.179167,	2.000000
7.472978,	0.672866,	0.780900,	-2.137960,	-0.013970,	79.775000,	2.500000
393.747998,	4.497048,	0.780900,	-1.787960,	-0.133970,	42.437500,	2.000000
342.955172,	4.246371,	0.780900,	-1.787960,	-0.121970,	44.991667,	2.000000
286.423421,	3.903611,	0.780900,	-1.787960,	-0.109970,	48.116667,	2.000000
227.414777,	3.556397,	0.780900,	-1.787960,	-0.097970,	50.522917,	2.000000
176.257437,	3.177742,	0.780900,	-1.787960,	-0.085970,	54.197917,	2.000000
132.681486,	2.823645,	0.780900,	-1.787960,	-0.073970,	57.958333,	2.000000
88.583002,	2.382970,	0.780900,	-1.787960,	-0.061970,	61.762500,	2.000000
61.769944,	1.998552,	0.780900,	-1.787960,	-0.049970,	66.400000,	2.000000
33.145934,	1.542837,	0.780900,	-1.787960,	-0.037970,	71.095833,	2.000000
17.746277,	1.105081,	0.780900,	-1.787960,	-0.025970,	77.122917,	2.000000
6.135869,	0.650193,	0.780900,	-1.787960,	-0.013970,	79.289583,	2.500000
418.337134,	4.461171,	0.780900,	-1.437960,	-0.133970,	41.293750,	2.000000
353.120266,	4.078712,	0.780900,	-1.437960,	-0.121970,	43.625000,	2.000000
300.003239,	3.837196,	0.780900,	-1.437960,	-0.109970,	46.452083,	2.000000
245.699939,	3.586234,	0.780900,	-1.437960,	-0.097970,	49.127083,	2.000000
189.991939,	3.170736,	0.780900,	-1.437960,	-0.085970,	52.660417,	2.000000
138.514465,	2.782315,	0.780900,	-1.437960,	-0.073970,	55.952083,	2.000000
98.083833,	2.399074,	0.780900,	-1.437960,	-0.061970,	60.289583,	2.000000
65.317516,	1.989787,	0.780900,	-1.437960,	-0.049970,	65.193750,	2.000000
35.207263,	1.534167,	0.780900,	-1.437960,	-0.037970,	70.354167,	2.000000
18.057984,	1.132369,	0.780900,	-1.437960,	-0.025970,	76.081250,	2.000000
6.904492,	0.661793,	0.780900,	-1.437960,	-0.013970,	78.983333,	2.500000
403.856936,	4.110661,	0.780900,	-1.087960,	-0.133970,	41.031250,	2.000000
331.946770,	3.856948,	0.780900,	-1.087960,	-0.121970,	43.170833,	2.000000
305.198783,	3.752583,	0.780900,	-1.087960,	-0.109970,	44.750000,	2.000000
243.236036,	3.397924,	0.780900,	-1.087960,	-0.097970,	47.550000,	2.000000
205.581862,	3.195129,	0.780900,	-1.087960,	-0.085970,	50.485417,	2.000000
142.019036,	2.770128,	0.780900,	-1.087960,	-0.073970,	55.220833,	2.000000
101.947591,	2.326211,	0.780900,	-1.087960,	-0.061970,	58.350000,	2.000000
64.618169,	1.994913,	0.780900,	-1.087960,	-0.049970,	64.037500,	2.000000
34.607227,	1.496879,	0.780900,	-1.087960,	-0.037970,	68.952083,	2.000000
17.188235,	1.120812,	0.780900,	-1.087960,	-0.025970,	75.016667,	2.000000
7.113216,	0.671784,	0.780900,	-1.087960,	-0.013970,	78.879167,	2.500000
336.130532,	3.546011,	0.780900,	-0.737960,	-0.133970,	41.383333,	2.000000
299.737611,	3.404770,	0.780900,	-0.737960,	-0.121970,	43.429167,	2.000000
259.689444,	3.240797,	0.780900,	-0.737960,	-0.109970,	45.429167,	2.000000
215.679143,	3.013237,	0.780900,	-0.737960,	-0.097970,	47.914583,	2.000000
177.447649,	2.783890,	0.780900,	-0.737960,	-0.085970,	50.489583,	2.000000
140.061900,	2.582477,	0.780900,	-0.737960,	-0.073970,	53.516667,	2.000000
106.905372,	2.293362,	0.780900,	-0.737960,	-0.061970,	56.512500,	2.000000
65.757791,	1.953208,	0.780900,	-0.737960,	-0.049970,	61.197917,	2.000000
36.868918,	1.526582,	0.780900,	-0.737960,	-0.037970,	66.733333,	2.000000
17.015716,	1.116554,	0.780900,	-0.737960,	-0.025970,	73.631250,	2.000000
