mean_energy	error	        alpha	         beta	         gamma	        acceptance	stepsize
189.843176,	3.800627,	-2.219100,	-3.537960,	-0.133970,	51.058333,	2.000000
157.241935,	3.433469,	-2.219100,	-3.537960,	-0.121970,	52.854167,	2.000000
132.567197,	3.251371,	-2.219100,	-3.537960,	-0.109970,	54.770833,	2.000000
100.947527,	2.906201,	-2.219100,	-3.537960,	-0.097970,	56.812500,	2.000000
79.474108,	2.640188,	-2.219100,	-3.537960,	-0.085970,	59.064583,	2.000000
59.735869,	2.378201,	-2.219100,	-3.537960,	-0.073970,	62.639583,	2.000000
45.120688,	2.151977,	-2.219100,	-3.537960,	-0.061970,	65.112500,	2.000000
31.874766,	1.872196,	-2.219100,	-3.537960,	-0.049970,	68.558333,	2.000000
19.184065,	1.489392,	-2.219100,	-3.537960,	-0.037970,	72.552083,	2.000000
10.044406,	1.098060,	-2.219100,	-3.537960,	-0.025970,	77.514583,	2.000000
6.064097,	0.765932,	-2.219100,	-3.537960,	-0.013970,	76.068750,	3.000000
199.622507,	3.751490,	-2.219100,	-3.187960,	-0.133970,	50.500000,	2.000000
172.110607,	3.565163,	-2.219100,	-3.187960,	-0.121970,	52.281250,	2.000000
139.352473,	3.225999,	-2.219100,	-3.187960,	-0.109970,	54.733333,	2.000000
116.730740,	3.063552,	-2.219100,	-3.187960,	-0.097970,	56.443750,	2.000000
90.140619,	2.646785,	-2.219100,	-3.187960,	-0.085970,	59.152083,	2.000000
68.119439,	2.382551,	-2.219100,	-3.187960,	-0.073970,	61.425000,	2.000000
44.392553,	1.965804,	-2.219100,	-3.187960,	-0.061970,	64.752083,	2.000000
32.683945,	1.781367,	-2.219100,	-3.187960,	-0.049970,	68.335417,	2.000000
19.931596,	1.374989,	-2.219100,	-3.187960,	-0.037970,	72.431250,	2.000000
14.495145,	1.172224,	-2.219100,	-3.187960,	-0.025970,	77.318750,	2.000000
5.187785,	0.631950,	-2.219100,	-3.187960,	-0.013970,	76.168750,	3.000000
215.776175,	3.656375,	-2.219100,	-2.837960,	-0.133970,	50.314583,	2.000000
179.080387,	3.412355,	-2.219100,	-2.837960,	-0.121970,	52.443750,	2.000000
148.296126,	3.116242,	-2.219100,	-2.837960,	-0.109970,	53.941667,	2.000000
124.057039,	2.880620,	-2.219100,	-2.837960,	-0.097970,	56.497917,	2.000000
98.385669,	2.638539,	-2.219100,	-2.837960,	-0.085970,	58.879167,	2.000000
80.518135,	2.375606,	-2.219100,	-2.837960,	-0.073970,	61.977083,	2.000000
60.724209,	2.301617,	-2.219100,	-2.837960,	-0.061970,	64.881250,	2.000000
35.838606,	1.698878,	-2.219100,	-2.837960,	-0.049970,	67.768750,	2.000000
23.666319,	1.394956,	-2.219100,	-2.837960,	-0.037970,	72.458333,	2.000000
14.340406,	1.084418,	-2.219100,	-2.837960,	-0.025970,	77.379167,	2.000000
7.187558,	0.697944,	-2.219100,	-2.837960,	-0.013970,	75.866667,	3.000000
243.348415,	3.729166,	-2.219100,	-2.487960,	-0.133970,	49.797917,	2.000000
208.484751,	3.384214,	-2.219100,	-2.487960,	-0.121970,	51.777083,	2.000000
167.778370,	3.079160,	-2.219100,	-2.487960,	-0.109970,	54.008333,	2.000000
149.086370,	2.967893,	-2.219100,	-2.487960,	-0.097970,	55.770833,	2.000000
112.937917,	2.668614,	-2.219100,	-2.487960,	-0.085970,	58.533333,	2.000000
90.496919,	2.370201,	-2.219100,	-2.487960,	-0.073970,	61.256250,	2.000000
62.933502,	2.072211,	-2.219100,	-2.487960,	-0.061970,	64.277083,	2.000000
42.430031,	1.645477,	-2.219100,	-2.487960,	-0.049970,	67.783333,	2.000000
28.306057,	1.397520,	-2.219100,	-2.487960,	-0.037970,	71.781250,	2.000000
16.292920,	1.003636,	-2.219100,	-2.487960,	-0.025970,	76.985417,	2.000000
9.194070,	0.722754,	-2.219100,	-2.487960,	-0.013970,	79.464583,	2.500000
275.431948,	4.002812,	-2.219100,	-2.137960,	-0.133970,	49.737500,	2.000000
234.659926,	3.300149,	-2.219100,	-2.137960,	-0.121970,	51.004167,	2.000000
198.657350,	3.205880,	-2.219100,	-2.137960,	-0.109970,	53.097917,	2.000000
161.409685,	2.873495,	-2.219100,	-2.137960,	-0.097970,	55.297917,	2.000000
